Clusters,Outcome,Number,Frequency
C0,HC,743,0.055
C0,FT,2876,0.214
C0,S,7135,0.53
C0,Unknown,2699,0.201
C1,HC,608,0.058
C1,FT,2101,0.2
C1,S,5527,0.525
C1,Unknown,2293,0.218
C2,HC,305,0.04
C2,FT,1377,0.179
C2,S,4325,0.562
C2,Unknown,1686,0.219
C3,HC,636,0.165
C3,FT,202,0.052
C3,S,2394,0.62
C3,Unknown,632,0.164
C4,HC,139,0.044
C4,FT,1224,0.385
C4,S,1106,0.348
C4,Unknown,710,0.223
C5,HC,472,0.167
C5,FT,520,0.185
C5,S,1190,0.422
C5,Unknown,636,0.226
C6,HC,18,0.008
C6,FT,262,0.112
C6,S,1675,0.716
C6,Unknown,383,0.164
C7,HC,65,0.042
C7,FT,211,0.137
C7,S,1020,0.662
C7,Unknown,244,0.158
C8,HC,57,0.055
C8,FT,86,0.084
C8,S,774,0.753
C8,Unknown,111,0.108
C9,HC,102,0.171
C9,FT,263,0.442
C9,S,156,0.262
C9,Unknown,74,0.124
C10,HC,36,0.074
C10,FT,62,0.127
C10,S,350,0.719
C10,Unknown,39,0.08
C11,HC,3,0.011
C11,FT,221,0.784
C11,S,45,0.16
C11,Unknown,13,0.046
C12,HC,21,0.123
C12,FT,9,0.053
C12,S,53,0.31
C12,Unknown,88,0.515